videopath,text,entailment
k600_val_eOsIGrDFuuw_000004_000014,A couple of men playing racket ball on a court and a woman talking as they play.,0.0861925259232521
k600_val_eOsIGrDFuuw_000004_000014,A couple of men talking as they play racket ball on a court and a woman playing,0.0853548943996429
k600_val_PrYFawCStOQ_000012_000022,A man is cutting an object with an electric saw and sparks are coming out.,0.6994773745536804
k600_val_PrYFawCStOQ_000012_000022,A man is cutting an object with an electric saw and sparks are coming out before he puts the object on the saw,0.5373563766479492
k600_val_UOE1mw6VFCY_000257_000267,A man acts like he is playing a harp out in a open court and people watch.,0.6425036191940308
k600_val_UOE1mw6VFCY_000257_000267,A man acts like he is playing a harp out in a open court and people watch after he is playing the harp,0.4989185333251953
k600_val_UlYUJj-tDlY_000018_000028,a man is talking in a foreign language about a bicycle.,0.3291215598583221
k600_val_UlYUJj-tDlY_000018_000028,a man is talking in a foreign language about a motorcycle.,0.3037937581539154
k600_val_cLuQZUa098o_000090_000100,A little boys pulls a puppy toy on a string around the floor of his house.,0.7025579810142517
k600_val_cLuQZUa098o_000090_000100,A little boys throws a puppy toy on a string around the floor of his house.,0.6270074248313904
tempo_videos_1524,the man and dog enter the field then the man detaches leash.,0.242679014801979
tempo_videos_1524,The man detaches leash then the man and dog enter the field,0.2338384091854095
k600_val_C2F9hfIMSTc_000061_000071,A man gets his hair cut while he talks to the media.,0.5552266240119934
k600_val_C2F9hfIMSTc_000061_000071,A man talks to the media after he gets his hair cut,0.4271645545959472
msr-vtt_TrainValVideo_video3094,lego characters dance to music,0.4732900559902191
msr-vtt_TrainValVideo_video3094,lego characters sing to music,0.4152368307113647
k600_val_vENkm251kxw_000015_000025,a large crowd of people carrying a person as they crowd surf at a concert,0.4751424491405487
k600_val_vENkm251kxw_000015_000025,a large crowd of people carrying a person as they crowd surf at a parade,0.384782075881958
k600_val_Z1CgCiqWLI4_000000_000010,Baby is being fed baby food with white spoon and making smacking sounds while eating.,0.4969733953475952
k600_val_Z1CgCiqWLI4_000000_000010,Baby is making smacking sounds while eating before being fed baby food with white spoon,0.4242544770240783
k600_val_bvEgbgoJi7s_000006_000016,Two young girls explain their actions to their mother.,0.3558652698993683
k600_val_bvEgbgoJi7s_000006_000016,Two young girls explain their actions to their father.,0.3476216197013855
