videopath,source,caption,neg_caption,youtube_key,split,misalignment
k600_val_eOsIGrDFuuw_000004_000014,vatex,A couple of men playing racket ball on a court and a woman talking as they play.,A couple of men talking as they play racket ball on a court and a woman playing,,train,flip
k600_val_PrYFawCStOQ_000012_000022,vatex,A man is cutting an object with an electric saw and sparks are coming out.,A man is cutting an object with an electric saw and sparks are coming out before he puts the object on the saw,,train,flip
k600_val_UOE1mw6VFCY_000257_000267,vatex,A man acts like he is playing a harp out in a open court and people watch.,A man acts like he is playing a harp out in a open court and people watch after he is playing the harp,,train,flip
k600_val_UlYUJj-tDlY_000018_000028,vatex,a man is talking in a foreign language about a bicycle.,a man is talking in a foreign language about a motorcycle.,,train,action
k600_val_cLuQZUa098o_000090_000100,vatex,A little boys pulls a puppy toy on a string around the floor of his house.,A little boys throws a puppy toy on a string around the floor of his house.,,train,action
tempo_videos_1524,tempo,the man and dog enter the field then the man detaches leash.,The man detaches leash then the man and dog enter the field,,train,flip
k600_val_C2F9hfIMSTc_000061_000071,vatex,A man gets his hair cut while he talks to the media.,A man talks to the media after he gets his hair cut,,train,flip
msr-vtt_TrainValVideo_video3094,msr-vtt,lego characters dance to music,lego characters sing to music,1tCWjXq8ZD8,train,action
k600_val_vENkm251kxw_000015_000025,vatex,a large crowd of people carrying a person as they crowd surf at a concert,a large crowd of people carrying a person as they crowd surf at a parade,,train,action
k600_val_Z1CgCiqWLI4_000000_000010,vatex,Baby is being fed baby food with white spoon and making smacking sounds while eating.,Baby is making smacking sounds while eating before being fed baby food with white spoon,,train,flip
k600_val_bvEgbgoJi7s_000006_000016,vatex,Two young girls explain their actions to their mother.,Two young girls explain their actions to their father.,,train,action
msr-vtt_TrainValVideo_video4890,msr-vtt,a lady with a green shirt is talking about men s fashion in new york,a lady with a green shirt is talking about women s fashion in new york,__0950Z2hVE,train,action
k600_val_k6pqBmRAWqs_000231_000241,vatex,The field moves with the camera as a snowmobile rides over a snowy field before the snowmobile rides past the camera.,The field moves with the camera as a snowmobile rides past the camera before the snowmobile rides over a snowy field,,train,flip
