videopath,text,entailment
k600_val_eOsIGrDFuuw_000004_000014,A couple of men playing racket ball on a court and a woman talking as they play.,0.5187511444091797
k600_val_eOsIGrDFuuw_000004_000014,A couple of men talking as they play racket ball on a court and a woman playing,0.4250514507293701
k600_val_PrYFawCStOQ_000012_000022,A man is cutting an object with an electric saw and sparks are coming out.,0.4988920986652374
k600_val_PrYFawCStOQ_000012_000022,A man is cutting an object with an electric saw and sparks are coming out before he puts the object on the saw,0.4040206372737884
k600_val_UOE1mw6VFCY_000257_000267,A man acts like he is playing a harp out in a open court and people watch.,0.7489275336265564
k600_val_UOE1mw6VFCY_000257_000267,A man acts like he is playing a harp out in a open court and people watch after he is playing the harp,0.7049323320388794
k600_val_UlYUJj-tDlY_000018_000028,a man is talking in a foreign language about a bicycle.,0.4024431109428406
k600_val_UlYUJj-tDlY_000018_000028,a man is talking in a foreign language about a motorcycle.,0.4119870662689209
k600_val_cLuQZUa098o_000090_000100,A little boys pulls a puppy toy on a string around the floor of his house.,0.9670770764350892
k600_val_cLuQZUa098o_000090_000100,A little boys throws a puppy toy on a string around the floor of his house.,0.44545978307724
tempo_videos_1524,the man and dog enter the field then the man detaches leash.,0.426718920469284
tempo_videos_1524,The man detaches leash then the man and dog enter the field,0.2978993952274322
k600_val_C2F9hfIMSTc_000061_000071,A man gets his hair cut while he talks to the media.,0.7810524106025696
k600_val_C2F9hfIMSTc_000061_000071,A man talks to the media after he gets his hair cut,0.5207938551902771
msr-vtt_TrainValVideo_video3094,lego characters dance to music,0.3375642299652099
msr-vtt_TrainValVideo_video3094,lego characters sing to music,0.3946533203125
k600_val_vENkm251kxw_000015_000025,a large crowd of people carrying a person as they crowd surf at a concert,0.6739615201950073
k600_val_vENkm251kxw_000015_000025,a large crowd of people carrying a person as they crowd surf at a parade,0.404014378786087
k600_val_Z1CgCiqWLI4_000000_000010,Baby is being fed baby food with white spoon and making smacking sounds while eating.,0.9347918033599854
k600_val_Z1CgCiqWLI4_000000_000010,Baby is making smacking sounds while eating before being fed baby food with white spoon,0.7636997699737549
k600_val_bvEgbgoJi7s_000006_000016,Two young girls explain their actions to their mother.,0.404014378786087
k600_val_bvEgbgoJi7s_000006_000016,Two young girls explain their actions to their father.,0.373652309179306
msr-vtt_TrainValVideo_video4890,a lady with a green shirt is talking about men s fashion in new york,0.3271844089031219
msr-vtt_TrainValVideo_video4890,a lady with a green shirt is talking about women s fashion in new york,0.8470069766044617
k600_val_k6pqBmRAWqs_000231_000241,The field moves with the camera as a snowmobile rides over a snowy field before the snowmobile rides past the camera.,0.8289927840232849
k600_val_k6pqBmRAWqs_000231_000241,The field moves with the camera as a snowmobile rides past the camera before the snowmobile rides over a snowy field,0.7894933223724365
msr-vtt_TrainValVideo_video5346,a man sances a little and then hugs a smaller man before he makes a burger,0.2955526411533355
msr-vtt_TrainValVideo_video5346,a man makes a burger before he sances a little and then hugs a smaller man,0.22660893201828
k600_val_vWnWpCg0ElM_000011_000021,A woman in a wedding dress has the indignity of riding a motorcycle while another passenger proceeds to have her bottom slapped.,0.550048291683197
k600_val_vWnWpCg0ElM_000011_000021,A woman in a wedding dress proceeds to have her bottom slapped while another passenger has the indignity of riding a motorcycle,0.5901252031326294
k600_val_r3xb-RcN-QU_000060_000070,A woman is exercising by sliding across the floor and working her lower body.,0.8773153424263
k600_val_r3xb-RcN-QU_000060_000070,A woman is working her lower body before sliding across the floor,0.7301654815673828
k600_val_m3Mh-mY2GXc_000026_000036,"An official tosses a coin with the two teams at the start of a game, and announces the result.",0.4704969525337219
k600_val_m3Mh-mY2GXc_000026_000036,An official announces the result of a game before tossing a coin with the two teams,0.4267215728759765
k600_val_iT2rFQfLClk_000000_000010,a girl is in a karate class and she runs and kicks her leg at the teacher.,0.4008655548095703
k600_val_iT2rFQfLClk_000000_000010,a girl is in a karate class and she runs and kicks her leg at the student.,0.3915779888629913
tempo_videos_9096,the man keeps playing his guitar after the man begins moving his head to the music,0.8528148531913757
tempo_videos_9096,the man stops playing his guitar after the man begins moving his head to the music,0.2712481915950775
tempo_videos_10961,the people are seen then the person turns over.,0.3650054931640625
tempo_videos_10961,the people are seen then the person sits up.,0.4950202107429504
msr-vtt_TrainValVideo_video282,demonstration of a video game showing how to place a house,0.8653979897499084
msr-vtt_TrainValVideo_video282,demonstration of a video game showing how to remove a house,0.6245352625846863
k600_val_y5zcNPKkJXY_000009_000019,A woman is talking into a microphone and a crowd then cheers while words play on screen.,0.6674007177352905
k600_val_y5zcNPKkJXY_000009_000019,A crowd cheers before a woman is talking into a microphone and words play on screen,0.547920286655426
msr-vtt_TrainValVideo_video1197,a man in a hard hat is walking around a construction site watching people sawing and building a building while a woman talks about the hit construction business has taken,0.6318850517272949
msr-vtt_TrainValVideo_video1197,a man in a hard hat is walking around a construction site talking about the hit construction business has taken while people sawing and building a building,0.5127175450325012
k600_val_71xKpl83CDI_000008_000018,A man drinks a beer and then licks the foam off of his lip.,0.3593316674232483
k600_val_71xKpl83CDI_000008_000018,A man licks the foam off of his lip and then drinks a beer,0.2649565637111664
k600_val_CcXpmyRQMOI_000000_000010,A young child bounces in a bounce house while another is stuck on ceiling while the house inflates.,0.6635062098503113
k600_val_CcXpmyRQMOI_000000_000010,A young child bounces in a bounce house while another is stuck on ceiling while the house deflates,0.4577820897102356
k600_val_xLje2Wvy8xU_000058_000068,A child gets bread out and starts to get meat out for a sandwhich.,0.8846112489700317
k600_val_xLje2Wvy8xU_000058_000068,A child gets meat out and starts to get bread out for a sandwhich,0.8469887971878052
msr-vtt_TrainValVideo_video6441,a man is playing a video game and telling about it,0.4969460368156433
msr-vtt_TrainValVideo_video6441,A man is telling about a video game and then playing it,0.4351395666599273
tempo_videos_498,the people waves signs before the woman is seen,0.6622270345687866
tempo_videos_498,the woman is seen before the people waves signs,0.7358891367912292
k600_val_PenwKrUxZto_000167_000177,A man removes a manual from a printing machine and stacks it next to others.,0.5352368354797363
k600_val_PenwKrUxZto_000167_000177,A man stacks a manual next to others and then removes it from a printing machine,0.5269383788108826
msr-vtt_TrainValVideo_video2712,video of the song oxygen from the disney movie teen beach at the part where the couple is overlooking the ocean while cuddling on the lifeguard tower,0.3649847209453583
msr-vtt_TrainValVideo_video2712,video of the song oxygen from the disney movie teen beach at the part where the couple is overlooking the ocean while cuddling on the lifeguard tower first and then they are on the beach,0.520782470703125
k600_val_ap3gy9OIRyE_000104_000114,The little boy is learning how to play the piano in the living room.,0.8859249949455261
k600_val_ap3gy9OIRyE_000104_000114,The little boy is learning how to play the guitar in the living room.,0.3349434435367584
tempo_videos_2749,the camera shows the back of a mans head before it show a fire begin.,0.4103626012802124
tempo_videos_2749,the camera shows a fire begin before the back of a man's head,0.2776637375354767
k600_val_R0PvkI2BADo_000094_000104,A person was doing spray white color spray paint for the chair by holding by his leg,0.7864062190055847
k600_val_R0PvkI2BADo_000094_000104,A person was doing spray white color spray paint for the chair by holding by his hand,0.6792446970939636
msr-vtt_TrainValVideo_video3686,a motor bikes is going round in the area and what he says is bike is more cheaper than the other vehicle,0.6331372857093811
msr-vtt_TrainValVideo_video3686,a motor bikes is going round in the area and what he says is bike is more expensive than the other vehicle,0.5675407648086548
k600_val_T01QMxrUda4_000000_000010,A man gives a small dog a bath in a washtub.,0.9809945821762084
k600_val_T01QMxrUda4_000000_000010,A man gives a small dog a bath in a shower.,0.4351418614387512
k600_val_Y-YKtMqSESA_000065_000075,A lady with glasses using a carving knife to carve out the skin of an apple.,0.7651845812797546
k600_val_Y-YKtMqSESA_000065_000075,A lady with glasses using a carving knife to cut a piece of cheese.,0.3885345160961151
msr-vtt_TrainValVideo_video3975,the speech delivered by a man shape making fun  of people who sits and talks and never do action,0.2712265253067016
msr-vtt_TrainValVideo_video3975,the speech delivered by a man shape making fun  of people who stands and talks and never do action,0.2567939162254333
tempo_videos_1915,the camera zooms on the man's hand after a man dramatically drops something into a bowl,0.5394214987754822
tempo_videos_1915,the camera zooms on the man's hand before a man dramatically drops something into a bowl,0.5167298913002014
k600_val_gwv0exc4aw4_000029_000039,A woman is blowing candles on a birthday cake while the people in the background are talking.,0.8354799151420593
k600_val_gwv0exc4aw4_000029_000039,A woman is talking to the people in the background while she blows candles on a birthday cake,0.7856249213218689
msr-vtt_TrainValVideo_video4109,a couple on a date in a restaurant talking about how oyster are an aphrodisiac,0.7132247090339661
msr-vtt_TrainValVideo_video4109,a couple on a date in a restaurant talking about how oyster are a delicacy,0.6700239181518555
tempo_videos_501,people are holding out papers and pens to a man before the green ball appears.,0.4217378497123718
tempo_videos_501,The green ball appears before people are holding out papers and pens to a man,0.3297396898269653
k600_val_b9vF-F1LC5g_000003_000013,A man uses a large roll of plastic wrap to cover furniture for protection from damage.,0.8611820340156555
k600_val_b9vF-F1LC5g_000003_000013,A man uses a large roll of plastic wrap to cover a car for protection from damage.,0.5653239488601685
k600_val_udhU9ZoSp0w_000010_000020,A half assembled puzzle is shown as two hands add pieces one by one in fast motion while music plays.,0.614851713180542
k600_val_udhU9ZoSp0w_000010_000020,A half assembled puzzle is shown as two hands remove pieces one by one in fast motion while music plays.,0.5479274988174438
k600_val_Y6GvJycngWI_000038_000048,A scantily clad woman is running on a bridge while music plays.,0.9275308847427368
k600_val_Y6GvJycngWI_000038_000048,A scantily clad woman is walking on a bridge while music plays.,0.9149363040924072
msr-vtt_TrainValVideo_video1449,a comedian is pelted with birds and plays games on stage,0.2112416923046112
