videopath,neg_caption,entailment
k600_val_eOsIGrDFuuw_000004_000014,A couple of men talking as they play racket ball on a court and a woman playing,0.0004310607910156
k600_val_PrYFawCStOQ_000012_000022,A man is cutting an object with an electric saw and sparks are coming out before he puts the object on the saw,0.0015029907226562
k600_val_UOE1mw6VFCY_000257_000267,A man acts like he is playing a harp out in a open court and people watch after he is playing the harp,0.00048828125
k600_val_UlYUJj-tDlY_000018_000028,a man is talking in a foreign language about a motorcycle.,0.953125
k600_val_cLuQZUa098o_000090_000100,A little boys throws a puppy toy on a string around the floor of his house.,0.77734375
tempo_videos_1524,The man detaches leash then the man and dog enter the field,0.0419921875
k600_val_C2F9hfIMSTc_000061_000071,A man talks to the media after he gets his hair cut,0.0015029907226562
msr-vtt_TrainValVideo_video3094,lego characters sing to music,0.9140625
k600_val_vENkm251kxw_000015_000025,a large crowd of people carrying a person as they crowd surf at a parade,0.53125
k600_val_Z1CgCiqWLI4_000000_000010,Baby is making smacking sounds while eating before being fed baby food with white spoon,0.0021820068359375
k600_val_bvEgbgoJi7s_000006_000016,Two young girls explain their actions to their father.,0.75390625
msr-vtt_TrainValVideo_video4890,a lady with a green shirt is talking about women s fashion in new york,0.5625
k600_val_k6pqBmRAWqs_000231_000241,The field moves with the camera as a snowmobile rides past the camera before the snowmobile rides over a snowy field,0.0007095336914062
msr-vtt_TrainValVideo_video5346,a man makes a burger before he sances a little and then hugs a smaller man,0.1064453125
k600_val_vWnWpCg0ElM_000011_000021,A woman in a wedding dress proceeds to have her bottom slapped while another passenger has the indignity of riding a motorcycle,0.02294921875
k600_val_r3xb-RcN-QU_000060_000070,A woman is working her lower body before sliding across the floor,0.010986328125
k600_val_m3Mh-mY2GXc_000026_000036,An official announces the result of a game before tossing a coin with the two teams,0.0009117126464843
k600_val_iT2rFQfLClk_000000_000010,a girl is in a karate class and she runs and kicks her leg at the student.,0.26953125
tempo_videos_9096,the man stops playing his guitar after the man begins moving his head to the music,0.408203125
tempo_videos_10961,the people are seen then the person sits up.,0.59375
msr-vtt_TrainValVideo_video282,demonstration of a video game showing how to remove a house,0.1328125
k600_val_y5zcNPKkJXY_000009_000019,A crowd cheers before a woman is talking into a microphone and words play on screen,0.0010299682617187
msr-vtt_TrainValVideo_video1197,a man in a hard hat is walking around a construction site talking about the hit construction business has taken while people sawing and building a building,0.53125
k600_val_71xKpl83CDI_000008_000018,A man licks the foam off of his lip and then drinks a beer,0.0015029907226562
k600_val_CcXpmyRQMOI_000000_000010,A young child bounces in a bounce house while another is stuck on ceiling while the house deflates,0.3203125
k600_val_xLje2Wvy8xU_000058_000068,A child gets meat out and starts to get bread out for a sandwhich,0.59375
msr-vtt_TrainValVideo_video6441,A man is telling about a video game and then playing it,0.0002307891845703
tempo_videos_498,the woman is seen before the people waves signs,0.5
